Category,Level,Attribute,Region,Value
Jantina,1,0,1,4101
Jantina,1,0,2,2696
Jantina,1,0,3,2316
Jantina,1,0,4,1631
Jantina,1,0,5,2744
Jantina,1,1,1,107
Jantina,1,1,2,64
Jantina,1,1,3,107
Jantina,1,1,4,81
Jantina,1,1,5,88
Jantina,1,2,1,1026
Jantina,1,2,2,1058
Jantina,1,2,3,719
Jantina,1,2,4,404
Jantina,1,2,5,1026
Jantina,1,3,1,734
Jantina,1,3,2,495
Jantina,1,3,3,251
Jantina,1,3,4,101
Jantina,1,3,5,984
Jantina,1,4,1,23
Jantina,1,4,2,23
Jantina,1,4,3,23
Jantina,1,4,4,9
Jantina,1,4,5,47
Jantina,2,0,1,6204
Jantina,2,0,2,3971
Jantina,2,0,3,3380
Jantina,2,0,4,2053
Jantina,2,0,5,3746
Jantina,2,1,1,12
Jantina,2,1,2,10
Jantina,2,1,3,8
Jantina,2,1,4,10
Jantina,2,1,5,15
Jantina,2,2,1,359
Jantina,2,2,2,387
Jantina,2,2,3,323
Jantina,2,2,4,182
Jantina,2,2,5,348
Jantina,2,3,1,245
Jantina,2,3,2,203
Jantina,2,3,3,94
Jantina,2,3,4,46
Jantina,2,3,5,391
Jantina,2,4,1,109
Jantina,2,4,2,115
Jantina,2,4,3,51
Jantina,2,4,4,8
Jantina,2,4,5,291
Strata,1,0,1,7885
Strata,1,0,2,3876
Strata,1,0,3,4244
Strata,1,0,4,3334
Strata,1,0,5,3405
Strata,1,1,1,98
Strata,1,1,2,56
Strata,1,1,3,98
Strata,1,1,4,83
Strata,1,1,5,91
Strata,1,2,1,902
Strata,1,2,2,476
Strata,1,2,3,671
Strata,1,2,4,553
Strata,1,2,5,591
Strata,1,3,1,619
Strata,1,3,2,355
Strata,1,3,3,235
Strata,1,3,4,120
Strata,1,3,5,366
Strata,1,4,1,74
Strata,1,4,2,54
Strata,1,4,3,51
Strata,1,4,4,15
Strata,1,4,5,69
Strata,2,0,1,2420
Strata,2,0,2,2791
Strata,2,0,3,1452
Strata,2,0,4,350
Strata,2,0,5,3085
Strata,2,1,1,21
Strata,2,1,2,18
Strata,2,1,3,17
Strata,2,1,4,8
Strata,2,1,5,12
Strata,2,2,1,483
Strata,2,2,2,969
Strata,2,2,3,371
Strata,2,2,4,33
Strata,2,2,5,783
Strata,2,3,1,360
Strata,2,3,2,343
Strata,2,3,3,110
Strata,2,3,4,27
Strata,2,3,5,1009
Strata,2,4,1,58
Strata,2,4,2,84
Strata,2,4,3,23
Strata,2,4,4,2
Strata,2,4,5,269
Pendidikan,1,0,1,1777
Pendidikan,1,0,2,1382
Pendidikan,1,0,3,790
Pendidikan,1,0,4,298
Pendidikan,1,0,5,2386
Pendidikan,1,1,1,1
Pendidikan,1,1,2,0
Pendidikan,1,1,3,0
Pendidikan,1,1,4,0
Pendidikan,1,1,5,2
Pendidikan,1,2,1,96
Pendidikan,1,2,2,165
Pendidikan,1,2,3,58
Pendidikan,1,2,4,16
Pendidikan,1,2,5,242
Pendidikan,1,3,1,70
Pendidikan,1,3,2,89
Pendidikan,1,3,3,14
Pendidikan,1,3,4,13
Pendidikan,1,3,5,411
Pendidikan,1,4,1,10
Pendidikan,1,4,2,24
Pendidikan,1,4,3,5
Pendidikan,1,4,4,0
Pendidikan,1,4,5,138
Pendidikan,2,0,1,4633
Pendidikan,2,0,2,2814
Pendidikan,2,0,3,2409
Pendidikan,2,0,4,1261
Pendidikan,2,0,5,2236
Pendidikan,2,1,1,1
Pendidikan,2,1,2,1
Pendidikan,2,1,3,4
Pendidikan,2,1,4,1
Pendidikan,2,1,5,1
Pendidikan,2,2,1,605
Pendidikan,2,2,2,707
Pendidikan,2,2,3,398
Pendidikan,2,2,4,121
Pendidikan,2,2,5,641
Pendidikan,2,3,1,523
Pendidikan,2,3,2,342
Pendidikan,2,3,3,157
Pendidikan,2,3,4,51
Pendidikan,2,3,5,693
Pendidikan,2,4,1,74
Pendidikan,2,4,2,73
Pendidikan,2,4,3,34
Pendidikan,2,4,4,3
Pendidikan,2,4,5,161
Pendidikan,3,0,1,3242
Pendidikan,3,0,2,1947
Pendidikan,3,0,3,2056
Pendidikan,3,0,4,1612
Pendidikan,3,0,5,1510
Pendidikan,3,1,1,90
Pendidikan,3,1,2,44
Pendidikan,3,1,3,79
Pendidikan,3,1,4,55
Pendidikan,3,1,5,64
Pendidikan,3,2,1,596
Pendidikan,3,2,2,505
Pendidikan,3,2,3,510
Pendidikan,3,2,4,304
Pendidikan,3,2,5,377
Pendidikan,3,3,1,362
Pendidikan,3,3,2,239
Pendidikan,3,3,3,167
Pendidikan,3,3,4,71
Pendidikan,3,3,5,253
Pendidikan,3,4,1,45
Pendidikan,3,4,2,37
Pendidikan,3,4,3,29
Pendidikan,3,4,4,11
Pendidikan,3,4,5,36
Pendidikan,4,0,1,653
Pendidikan,4,0,2,524
Pendidikan,4,0,3,441
Pendidikan,4,0,4,513
Pendidikan,4,0,5,358
Pendidikan,4,1,1,27
Pendidikan,4,1,2,29
Pendidikan,4,1,3,32
Pendidikan,4,1,4,35
Pendidikan,4,1,5,36
Pendidikan,4,2,1,88
Pendidikan,4,2,2,68
Pendidikan,4,2,3,76
Pendidikan,4,2,4,145
Pendidikan,4,2,5,114
Pendidikan,4,3,1,24
Pendidikan,4,3,2,28
Pendidikan,4,3,3,7
Pendidikan,4,3,4,12
