"","Outside","Employer","Employee","Self employed","Unpaid family worker","Category","Index"
"1",0.0159,0.2091,0.0819499999999999,0.10505,0.1119,"Etnik_Melayu","Duncan"
"2",0.02255,0.11205,0.0642,0.1237,0.24875,"Etnik_Cina","Duncan"
"3",0.0179,0.19435,0.08075,0.0782,0.10475,"Etnik_India","Duncan"
"4",0.000699999999999982,0.0992,0.0136,0.00860000000000002,0.0325,"Etnik_Lain","Duncan"
"5",0.03895,0.15005,0.0561,0.14915,0.1618,"Jantina/male","Duncan"
"6",0.02135,0.1402,0.08255,0.18695,0.2946,"Jantina/Female","Duncan"
"7",0.03835,0.35735,0.09955,0.2903,0.38165,"Pendidikan/TPR","Duncan"
"8",0.0492,0.3776,0.11795,0.1844,0.25865,"Pendidikan/Rendah","Duncan"
"9",0.0196,0.09545,0.05595,0.1258,0.11015,"Pendidikan/Menengah","Duncan"
"10",0.03105,0.09375,0.14655,0.17765,0.15205,"Pendidikan/Tertiari","Duncan"
"11",0.0105,0.14675,0.0767,0.12255,0.1447,"Strata/Urban","Duncan"
"12",0.03825,0.2254,0.0986,0.2041,0.27535,"Strata/Rural","Duncan"
