Month,Unit,Price,Ad,Promo
1,73.959,8.75,50.04,61.13
2,71.544,8.99,50.74,60.19
3,78.587,7.50,50.14,59.16
4,80.364,7.25,50.27,60.38
5,78.771,7.40,51.25,59.71
6,71.986,8.50,50.65,59.88
7,74.885,8.40,50.87,60.14
8,73.345,7.90,50.15,60.08
9,76.659,7.25,48.24,59.90
10,71.880,8.70,50.19,59.68
11,73.598,8.40,51.11,59.83
12,74.893,8.10,51.49,59.77
13,69.003,8.40,50.10,59.29
14,78.542,7.40,49.24,60.40
15,72.543,8.00,50.04,59.89
16,74.247,8.30,49.46,60.06
17,76.253,8.10,51.62,60.51
18,72.582,8.20,49.78,58.93
19,69.022,8.99,48.60,60.09
20,76.200,7.99,49.00,61.00
21,69.701,8.50,48.00,59.00
22,77.005,7.90,54.00,59.50
23,70.987,7.99,48.70,58.00
24,75.643,8.25,50.00,60.50
