COUNTRY,POPULATION,AREA,GDP,CONTINENTS,IND_DAY
China,1398.72,9596.96,12234.78,Asia,
India,1351.16,3287.26,2575.67,Asia,15/8/1947
US,329.74,9833.52,19485.39,N.America,1776-07-04
Indonesia,268.07,1910.93,1015.54,Asia,17/8/1945
Brazil,210.32,8515.77,2055.51,S.America,1822-09-07
Pakistan,205.71,881.91,302.14,Asia,14/8/1947
Nigeria,200.96,923.77,375.77,Africa,1/10/1960
Bangladesh,167.09,147.57,245.63,Asia,26/3/1971
Russia,146.79,17098.25,1530.75,,12/6/1992
Mexico,126.58,1964.38,1158.23,N.America,1810-09-16
Japan,126.22,377.97,4872.42,Asia,
Germany,83.02,357.11,3693.2,Europe,
France,67.02,640.68,2582.49,Europe,1789-07-14
UK,66.44,242.5,2631.23,Europe,
Italy,60.36,301.34,1943.84,Europe,
Argentina,44.94,2780.4,637.49,S.America,1816-07-09
Algeria,43.38,2381.74,167.56,Africa,5/7/1962
Canada,37.59,9984.67,1647.12,N.America,1867-07-01
Australia,25.47,7692.02,1408.68,Oceania,
Kazakhstan,18.53,2724.9,159.41,Asia,16/12/1991
