ID,Address,City,State,Country,Name,properties.osm_value
1,Jalan Setia Tropika 1/1,Johor Bahru,Johor,Malaysia,Dental Legacy,dentist
2,Jalan Indah 16/5,Iskandar Puteri,Johor,Malaysia,Alpha Dental Clinic,dentist
3,Medan Nusa Perintis 6,Iskandar Puteri,Johor,Malaysia,klinik pergigian teoh,dentist
4,Jalan Kebudayaan 1,Iskandar Puteri,Johor,Malaysia,klinik pergigian amim,dentist
5,Jalan Suria 5,Masai,Johor,Malaysia,Klinik Pergigian Amim,dentist
6,Jalan Nusaria 11/6,Iskandar Puteri,Johor,Malaysia,V-Smile,dentist
7,Jalan Dato Onn 1,Tebrau,Johor,Malaysia,Klinik Pergigian Dental Legacy,dentist
8,Jalan Bentara 1,Iskandar Puteri,Johor,Malaysia,klinik gigi jb,dentist
9,Jalan Kluang-Jemaluang,Kluang,Johor,Malaysia,TAC Dental Clinic,dentist
10,Jalan Mersing,Kluang,Johor,Malaysia,klinik pergigian khoo,dentist
11,Jalan Sutera Tanjung,Iskandar Puteri,Johor,Malaysia,Klinik Pergigian L&L,dentist
12,Jalan Sutera Tanjung 8/2,Iskandar Puteri,Johor,Malaysia,Lou Dental Centre,dentist
13,Food Street,Ayer Hitam,Johor,Malaysia,Kelinik Pergigian emily dan keluarga,dentist
14,Jalan Persekutuan 1,Kulai,Johor,Malaysia,Haslinda Dental Surgeon,dentist
