name,shop,lon,lat,state,district,parlimen,dun
Syaharudin Motor Workshop,car_repair,100.4292248,5.5022505,Pulau Pinang,Seberang Perai Utara,P.042 Tasek Gelugor,N.05 Sungai Dua
,car_repair,100.4301154,5.4989476,Pulau Pinang,Seberang Perai Utara,P.042 Tasek Gelugor,N.05 Sungai Dua
Parda Motor,motorcycle,100.4296311,5.3679611,Pulau Pinang,Seberang Perai Tengah,P.044 Permatang Pauh,N.10 Seberang Jaya
JM Auto Gallery Sdn. Bhd.,car_repair,100.3788486,5.412678,Pulau Pinang,Seberang Perai Utara,P.043 Bagan,N.09 Bagan Dalam
Windscreen2U George Town | Windscreen Specialist | Pakar Cermin Kereta,car_repair,100.2887711,5.4044178,Pulau Pinang,Timur Laut,P.051 Bukit Gelugor,N.33 Air Itam
Windscreen2U Bukit Mertajam,car_repair,100.4733898,5.3504184,Pulau Pinang,Seberang Perai Tengah,P.045 Bukit Mertajam,N.13 Berapit
Windscreen2U Butterworth | Windscreen Specialist | Pakar Cermin Kereta,car_repair,100.3814977,5.4213903,Pulau Pinang,Seberang Perai Utara,P.043 Bagan,N.08 Bagan Jermal
WP Garage,car_repair,100.4517114,5.5168461,Pulau Pinang,Seberang Perai Utara,P.041 Kepala Batas,N.03 Pinang Tunggal
Mobile Windscreen Sdn. Bhd. (Jelutong),car_repair,100.3112142,5.3913914,Pulau Pinang,Timur Laut,P.050 Jelutong,N.31 Batu Lancang
Hup Hin Tyre & Repair,car_repair,100.3128335,5.4294328,Pulau Pinang,Timur Laut,P.048 Bukit Bendera,N.25 Pulau Tikus
Perodua Zam Astina Sdn Bhd,car_repair,100.3864015,5.393239,Pulau Pinang,Seberang Perai Tengah,P.046 Batu Kawan,N.16 Perai
Good year tyre shop,car_repair,100.4978506,5.2087912,Pulau Pinang,Seberang Perai Selatan,P.047 Nibong Tebal,N.20 Sungai Bakap
K Smart Car Service & Air-Cond Service,car_repair,100.4299993,5.5188357,Pulau Pinang,Seberang Perai Utara,P.041 Kepala Batas,N.02 Bertam
