MSIC_5D,DESCRIPTION
A01131,Penanaman jagung
A01132,Penanaman tanaman kekacang
A01133,Penanaman bijian berminyak
A01134,Penanaman bijirin lain t.t.t.l
A01135,Penanaman padi
A01136,Penanaman sayur-sayuran berdaun atau berbatang
A01137,Penanaman sayur-sayuran berbuah
A01138,Penanaman tembikai
A01140,Penanaman cendawan dan truffles
A01150,"Penanaman benih sayuran, kecuali benih bit"
A01160,Penanaman sayur-sayuran lain
A01191,Penanaman ubi gula
A01192,"Penanaman tumbuhan berakar, ubi-ubian, bebawang atau sayur-sayuran berubi"
A01193,Penanaman tebu
A01111,Penanaman tembakau 
A01112,Penanaman tanaman berserat
A01113,Penanaman bunga
A01119,Penanaman biji benih bungaan
A01120,Penanaman sagu (rumbia)
A01199,Penanaman tanaman bukan kekal lain t.t.t.l
A01210,Penanaman anggur
A01221,Penanaman pisang 
A01222,Penanaman mangga 
A01223,Penanaman durian
A01224,Penanaman rambutan
A01225,Penanaman buah belimbing 
A01226,Penanaman betik 
A01227,Penanaman nenas 
A01228,Penanaman buah naga
A01229,Penanaman buah-buahan tropika dan subtropika lain t.t.t.l
A01231,Penanaman limau bali
A01233,Penanaman lemon dan limau nipis
A01239,Penanaman tangerin dan mandarin
A01241,Penanaman buah-buahan sitrus lain t.t.t.l.
A01251,Penanaman jambu batu 
A01252,Penanaman buah-buahan delima dan berbiji lain t.t.t.l
A01253,Penanaman buah beri
A01259,Penanaman biji benih buah-buahan
A01262,Penanaman kekacang yang boleh dimakan
A01263,Penanaman pokok dan buah-buahan bertandan lain
A01271,Penanaman kelapa sawit (estet)
A01272,Penanaman kelapa sawit (kebun kecil)
A01273,Penanaman kelapa (estet dan kebun kecil)
A01279,Penanaman buah-buah lain untuk minyak t.t.t.l.
A01281,Penanaman kopi
A01283,Penanaman teh
A01284,Penanaman koko
A01289,Penanaman tanaman minuman lain t.t.t.l.
A01291,Penanaman lada hitam (piper nigrum)
A01292,Penanaman cili dan lada (lada benggala spp.)
A01293,Penanaman buah pala
A01295,Penanaman halia
A01296,"Penanaman tanaman yang digunakan terutamanya untuk penghasilan minyak wangi, untuk farmasi atau untuk racun serangga, kulat atau untuk tujuan yang seumpamanya"
A01249,Penanaman tanaman rempah ratus dan aromatik lain t.t.t.l
A01261,Penanaman pokok getah (estet)
A01269,Penanaman pokok getah (kebun kecil)
